Station Name: OAK PARK
Station Height: 62 M 
Latitude:52.861  ,Longitude: -6.915


date:  -  00 to 00 utc
rain:  -  Precipitation Amount (mm)
maxtp: -  Maximum Air Temperature (C)	  
mintp: -  Minimum  Air Temperature (C)
gmin:  -  09utc Grass Minimum Temperature (C)
soil:  -  Mean 10cm soil temperature (C)	
cbl:   -  Mean CBL Pressure (hpa)
wdsp:  -  Mean Wind Speed (kt)
hm:    -  Highest ten minute mean wind speed (kt)		                 
ddhm:  -  Wind Direction at max 10 min mean (deg)                  
hg:    -  Highest Gust (kt)
pe:    -  Potential Evapotranspiration (mm)  
evap:  -  Evaporation (mm)
smd_wd:-  Soil Moisture Deficits(mm) well drained
smd_md:-  Soil Moisture Deficits(mm) moderately drained
smd_pd:-  Soil Moisture Deficits(mm) poorly drained
glorad:-  Global Radiation (J/cm sq.)
ind:   -  Indicator (i)

date,ind,maxtp,ind,mintp,igmin,gmin,ind,rain,cbl,wdsp,ind,hm,ind,ddhm,ind,hg,soil,pe,evap,smd_wd,smd_md,smd_pd,glorad
01-feb-2026,0,9.0,0,-1.5,0,-0.6,0,1.9,992.2,4.5,0,13,0,250,0,21,6.144,0.3,0.4,0.0,-1.6,-10.0,445
02-feb-2026,0,8.0,0,-2.3,0,-5.4,0,0.0,987.6,6.9,0,13,0,80,0,25,4.244,0.5,0.7,0.5,0.5,-9.0,105
03-feb-2026,0,7.6,0,5.4,0,4.9,0,1.3,981.2,9.8,0,14,0,60,0,22,5.562,0.7,0.9,0.0,-0.1,-9.1,96
04-feb-2026,0,8.8,0,6.4,0,5.0,0,1.1,978.3,8.2,0,12,0,90,0,20,6.364,0.6,0.8,0.0,-0.5,-9.2,226
05-feb-2026,0,7.9,0,5.9,0,4.0,0,6.1,973.0,11.4,0,18,0,80,0,31,6.083,0.7,1.0,0.0,-5.4,-10.0,194
06-feb-2026,0,8.7,0,6.1,0,4.7,0,3.8,975.5,6.0,0,10,0,80,0,17,6.585,0.5,0.7,0.0,-3.3,-10.0,222
07-feb-2026,0,9.6,0,4.6,0,4.0,0,1.3,983.7,3.0,0,7,0,340,0,11,7.056,0.4,0.5,0.0,-0.9,-10.0,308
08-feb-2026,0,11.2,0,3.9,0,-0.0,0,1.8,990.2,3.5,0,10,0,170,0,14,6.928,0.4,0.6,0.0,-1.4,-10.0,504
09-feb-2026,0,9.0,0,5.1,0,-1.5,0,3.5,985.8,5.7,0,13,0,120,0,20,7.003,0.4,0.5,0.0,-3.1,-10.0,267
10-feb-2026,0,9.4,0,7.4,0,6.7,0,2.5,976.4,3.9,0,10,0,110,0,14,7.717,0.4,0.6,0.0,-2.1,-10.0,236
11-feb-2026,0,10.6,0,7.8,0,5.6,0,3.8,969.7,4.7,0,10,0,180,0,14,8.285,0.4,0.6,0.0,-3.4,-10.0,323
12-feb-2026,0,10.2,0,6.7,0,4.1,0,6.3,974.2,5.4,0,17,0,270,0,23,8.075,0.6,0.8,0.0,-5.7,-10.0,315
13-feb-2026,0,6.7,0,-0.9,0,1.7,0,0.3,992.1,11.2,0,21,0,0,0,33,6.196,0.4,0.7,0.1,0.1,-9.4,445
14-feb-2026,0,6.6,0,-3.5,0,-8.3,0,3.1,1003.3,8.2,0,23,0,150,0,32,3.261,0.4,0.6,0.0,-2.5,-10.0,357
15-feb-2026,0,11.3,0,3.4,0,-1.8,0,4.8,991.1,9.0,0,17,0,250,0,29,6.318,0.8,1.0,0.0,-4.0,-10.0,631
16-feb-2026,0,9.9,0,1.8,0,-0.0,0,3.0,996.6,10.7,0,21,0,250,0,30,5.626,1.0,1.4,0.0,-2.0,-10.0,627
17-feb-2026,0,5.8,0,-2.2,0,-6.1,0,0.0,1003.1,5.7,0,18,0,130,0,27,3.813,0.5,0.7,0.5,0.5,-9.0,377
18-feb-2026,0,6.7,0,3.9,0,-0.6,0,5.2,990.6,11.6,0,18,0,120,0,29,5.259,0.6,0.8,0.0,-4.1,-10.0,179
19-feb-2026,0,9.8,0,4.0,0,4.0,0,1.2,996.9,5.1,0,17,0,280,0,25,6.114,0.6,0.9,0.0,-0.6,-10.0,523
20-feb-2026,0,12.2,0,4.8,0,0.4,0,2.7,1002.1,9.7,0,33,0,230,0,48,7.132,0.8,1.1,0.0,-1.9,-10.0,564
21-feb-2026,0,13.2,0,8.1,0,5.5,0,2.5,1006.3,8.3,0,15,0,230,0,23,8.434,0.6,0.8,0.0,-1.9,-10.0,252
22-feb-2026,0,13.0,0,7.4,0,3.8,0,0.7,1004.2,9.0,0,20,0,240,0,27,8.670,0.8,1.2,0.1,0.1,-9.4,723
23-feb-2026,0,13.6,0,7.2,0,4.3,0,0.2,1003.4,8.2,0,17,0,230,0,25,8.171,0.8,1.0,0.7,0.7,-8.3,255
24-feb-2026,0,11.4,0,9.6,0,8.6,0,0.0,1001.0,12.2,0,18,0,170,0,27,8.865,0.9,1.2,1.6,1.6,-7.0,236
25-feb-2026,0,13.4,0,9.4,0,9.2,0,4.4,1001.5,9.0,0,13,0,180,0,20,9.797,0.7,0.9,0.0,-2.1,-10.0,333
26-feb-2026,0,12.1,0,8.6,0,6.9,0,3.7,1000.1,9.4,0,18,0,180,0,27,9.340,0.8,1.0,0.0,-2.9,-10.0,271
27-feb-2026,0,11.0,0,3.4,0,6.1,0,0.0,1003.7,4.8,0,12,0,340,0,19,9.233,0.8,1.1,0.8,0.8,-8.7,760
28-feb-2026,0,9.4,0,0.1,0,-3.0,0,0.4,1006.9,6.7,0,15,0,180,0,21,7.162,0.7,1.1,1.1,1.1,-8.0,850
